 Method, Cache size, n, fib value, cache hit ratio 
lru, 10, 23, 28657, 47.619049% 
lru, 10, 6, 8, 48.837208% 
lru, 10, 17, 1597, 50.000000% 
lru, 10, 35, 9227465, 50.537636% 
lru, 10, 33, 3524578, 50.769234% 
lru, 10, 15, 610, 51.127823% 
lru, 10, 26, 121393, 51.492535% 
lru, 10, 12, 144, 51.824821% 
lru, 10, 9, 34, 50.331127% 
lru, 10, 21, 10946, 50.609756% 
mru, 10, 23, 28657, 49.870129% 
mru, 10, 6, 8, 49.935150% 
mru, 10, 17, 1597, 50.000000% 
mru, 10, 35, 9227465, 50.001057% 
mru, 10, 33, 3524578, 50.000717% 
mru, 10, 15, 610, 50.001068% 
mru, 10, 26, 121393, 50.001396% 
mru, 10, 12, 144, 50.001740% 
mru, 10, 9, 34, 50.002090% 
mru, 10, 21, 10946, 50.002438% 
lru, 10, 33, 3524578, 48.387096% 
lru, 10, 36, 14930352, 49.275364% 
lru, 2, 33, 3524578, 46.774193% 
lru, 2, 36, 14930352, 47.826088% 
lru, 2, 27, 196418, 47.058823% 
lru, 2, 15, 610, 46.206898% 
lru, 2, 43, 433494437, 47.524754% 
lru, 2, 35, 9227465, 47.388058% 
lru, 2, 36, 14930352, 47.601475% 
lru, 2, 42, 267914296, 47.887325% 
lru, 2, 49, 3483774753, 48.160534% 
lru, 2, 21, 10946, 47.774483% 
mru, 90, 3, 2, 0.000000% 
mru, 90, 6, 8, 44.444447% 
mru, 90, 17, 1597, 50.000000% 
mru, 90, 15, 610, 51.515152% 
mru, 90, 13, 233, 52.941177% 
mru, 90, 15, 610, 54.285717% 
mru, 90, 6, 8, 55.555557% 
mru, 90, 12, 144, 56.756760% 
mru, 90, 9, 34, 57.894737% 
mru, 90, 1, 1, 57.894737% 
mru, 90, 2, 1, 58.974361% 
mru, 90, 7, 13, 60.000004% 
mru, 90, 10, 55, 60.975613% 
mru, 90, 19, 4181, 60.869564% 
mru, 90, 3, 2, 61.702126% 
mru, 90, 6, 8, 62.500000% 
mru, 90, 0, 0, 62.500000% 
mru, 90, 6, 8, 63.265305% 
mru, 90, 12, 144, 64.000000% 
mru, 90, 16, 987, 64.705887% 
mru, 90, 11, 89, 65.384613% 
mru, 90, 8, 21, 66.037735% 
mru, 90, 7, 13, 66.666672% 
mru, 90, 9, 34, 67.272728% 
mru, 90, 2, 1, 67.857140% 
mru, 90, 10, 55, 68.421051% 
mru, 90, 2, 1, 68.965515% 
mru, 90, 3, 2, 69.491524% 
mru, 90, 7, 13, 70.000000% 
mru, 90, 15, 610, 70.491806% 
